iteration,best_fitness,mean_fitness,std_fitness,elapsed_eval,elapsed_update
150,663145.7704360608,664877.5638347402,2234.0482581911074,0.00930446700022003,3.203699998266529e-05
151,663132.1195216428,664622.4415984058,2071.8200079127364,0.009402306999618304,3.07089999296295e-05
152,662988.2239017551,664530.8963434075,2466.454726339096,0.0093410380000023,3.253700015193317e-05
153,662988.2239017551,664302.2494374062,1516.2962080882116,0.00923168400004215,8.445799994660774e-05
154,662988.2239017551,664269.2748545114,1174.9929734950483,0.009227897999608103,3.735100017365767e-05
155,662922.6623937367,664123.6552608713,1180.2873895426399,0.009209883000039554,3.101899983448675e-05
156,662922.6623937367,664168.9859624943,1345.6604398937648,0.009434894000150962,2.9960000119899632e-05
157,662922.6623937367,664039.8597426737,1566.2818639273357,0.009138797000105114,3.433399979257956e-05
158,662922.6623937367,664138.3519743012,1618.2725412793527,0.009161186999790516,3.2267000278807245e-05
159,662879.9949582439,663801.8915372229,1306.8557410012759,0.009238075999746798,3.382499971849029e-05
160,662879.9949582439,663677.957474017,1079.810985596972,0.009105082000132825,3.0369999876711518e-05
161,662859.7252899808,663698.0094714437,1384.530742791902,0.00917640699981348,3.994700000475859e-05
162,662859.2277757516,663705.0832430248,1085.3239895154707,0.009477473000060854,3.317600021546241e-05
163,662824.6773487491,663596.2781835957,1440.5112029312236,0.009521544000108406,4.099499983567512e-05
164,662824.6773487491,663547.1182670039,941.9932233719351,0.009707771000194043,3.3984999845415587e-05
165,662824.6773487491,663541.7766764536,1047.7081103609555,0.009323251000296295,3.2966000162559794e-05
166,662824.6773487491,663559.7398713918,1361.9776351491419,0.009377009999752772,3.130899995085201e-05
167,662807.7819086055,663541.6442195253,1520.8510339899947,0.009176377000130742,3.3584999982849695e-05
168,662807.7819086055,663377.0775083489,695.8883150897873,0.009164263000002393,3.166800024700933e-05
169,662798.043151138,663534.0072062803,1856.2978721676454,0.009531406999940373,3.0640000204584794e-05
170,662798.043151138,663419.5474863745,1121.0459916970244,0.009140525000020716,3.3675999929982936e-05
171,662798.043151138,663448.3237972414,1564.7888219070255,0.009284902999752376,5.2489999688987155e-05
172,662798.0230105945,663551.0534808493,2104.853581533412,0.009251167999991594,3.367499994055834e-05
173,662794.4213613867,664193.006168503,5287.76296104224,0.009153937000064616,3.119899974990403e-05
174,662794.4213613867,664293.1307686452,7556.707587579427,0.009194104000016523,3.343600019434234e-05
175,662794.4213613867,663499.6826651325,2134.068036641866,0.009190977999878669,3.81490003746876e-05
176,662794.4213613867,663480.1608621238,2493.5022527987308,0.009157822000361193,3.171700018356205e-05
177,662792.3448147658,663890.1020469837,4602.643017885371,0.009247742000297876,3.231699975003721e-05
178,662783.8663795589,664276.3426946515,6959.078025603528,0.009250328999769408,3.2637000003887806e-05
179,662783.8663795589,663471.8097092946,2419.105892646309,0.009236037999926339,3.616200001488323e-05
180,662783.8663795589,663738.0486974451,5087.771830223587,0.009240521999799967,3.242699995098519e-05
181,662777.8231582162,663498.1179039507,2919.05832858047,0.009416918999704649,3.06290003209142e-05
182,662777.8231582162,664995.1362491898,12984.903053761354,0.009377878999657696,3.235700023651589e-05
183,662777.3184331098,663300.3455837257,1785.4591926228013,0.009781675000340329,4.350200015323935e-05
184,662777.3184331098,663838.9341491496,5285.014035289055,0.009289266999985557,3.400499963390757e-05
185,662777.1643137622,664247.9397588321,8738.29624410336,0.009220467999966786,3.2746999750088435e-05
186,662776.4018719747,663705.5957301235,5494.921707939697,0.00928695999982665,3.079899988733814e-05
187,662774.0006943572,663380.4321996446,3061.6883050973715,0.009237035999831278,3.160799997203867e-05
188,662769.3606094153,663002.1533385372,528.5307543169342,0.009182518999750755,3.1708000278740656e-05
189,662769.3606094153,663281.6055370084,2345.1278560284927,0.009704077000151301,3.1148999823926715e-05
190,662766.7739262519,663696.1634618877,5782.48109479541,0.00910081700021692,3.4144999972340884e-05
191,662766.7739262519,664057.5008390445,7894.989332503389,0.009206386999721872,3.123800024695811e-05
192,662765.9499809032,664340.2190716449,9899.410991057366,0.009097427999677166,3.1816999580769334e-05
193,662765.9499809032,662960.1960744208,495.9249759640009,0.00916339000013977,3.053699992960901e-05
194,662762.9521808565,663664.0555833792,5281.289638800153,0.009139313000105176,3.0547000278602354e-05
195,662762.9521808565,663501.4027314695,4239.875432757286,0.009196014000281139,3.0038000204513082e-05
196,662762.9521808565,663569.7454529523,4701.917345591046,0.009330923999641527,3.561999983503483e-05
197,662762.9521808565,663305.6296660625,3141.990753221641,0.00946591999991142,3.075699987675762e-05
198,662762.9521808565,662890.7883096739,338.91684918199434,0.00942703500004427,4.12520003010286e-05
199,662762.7283775405,663153.3258112803,2008.5247527265458,0.009446641000067757,3.51300000147603e-05
